name,pop,location
Bhiria,12186,"https://www.google.com/maps/?q=26.9104,68.1947"
Mirwah Gorchani,12139,"https://www.google.com/maps/?q=25.3098,69.0502"
Dhaunkal,12117,"https://www.google.com/maps/?q=32.4061,74.1371"
Daultala,11814,"https://www.google.com/maps/?q=33.1928,73.141"
Diplo,11575,"https://www.google.com/maps/?q=24.4669,69.5811"
Kohlu,11089,"https://www.google.com/maps/?q=29.8965,69.2532"
Harnai,11066,"https://www.google.com/maps/?q=30.1008,67.9382"
Jandiala Sher Khan,10985,"https://www.google.com/maps/?q=31.821,73.9182"
Daromehar,10869,"https://www.google.com/maps/?q=24.7938,68.1798"
Mankera,10819,"https://www.google.com/maps/?q=31.3877,71.4405"
Sanjwal,10657,"https://www.google.com/maps/?q=33.7611,72.4332"
Miro Khan,10590,"https://www.google.com/maps/?q=27.7598,68.0919"
Gilgit,10414,"https://www.google.com/maps/?q=35.9187,74.3124"
Kot Sultan,10000,"https://www.google.com/maps/?q=30.7737,70.9313"
Khadro,9997,"https://www.google.com/maps/?q=26.1471,68.7178"
Berani,9975,"https://www.google.com/maps/?q=25.785,68.8075"
Begowala,9259,"https://www.google.com/maps/?q=32.4382,74.2679"
Tangwani,9255,"https://www.google.com/maps/?q=28.2789,68.9976"
Bozdar Wada,9175,"https://www.google.com/maps/?q=27.183,68.6358"
Jati,9152,"https://www.google.com/maps/?q=24.3549,68.2673"
Rustam,9048,"https://www.google.com/maps/?q=27.9671,68.8039"
Darya Khan Marri,8973,"https://www.google.com/maps/?q=26.6777,68.2867"
Sohbatpur,8940,"https://www.google.com/maps/?q=28.5204,68.543"
Doaba,8893,"https://www.google.com/maps/?q=33.4245,70.7368"
Mirpur Bhtoro,8866,"https://www.google.com/maps/?q=24.7285,68.2601"
Sann,8834,"https://www.google.com/maps/?q=26.0403,68.1376"
Samaro,8784,"https://www.google.com/maps/?q=25.2814,69.3962"
Barkhan,8760,"https://www.google.com/maps/?q=29.8977,69.5256"
Bandhi,8608,"https://www.google.com/maps/?q=26.5876,68.3021"
Karaundi,8604,"https://www.google.com/maps/?q=26.8971,68.4064"
Mirpur Sakro,8371,"https://www.google.com/maps/?q=24.5469,67.628"
Adilpur,8247,"https://www.google.com/maps/?q=27.9368,69.3194"
Bagarji,8005,"https://www.google.com/maps/?q=27.7543,68.7587"
Goth Phulji,7877,"https://www.google.com/maps/?q=26.881,67.6824"
Rajo Khanani,7683,"https://www.google.com/maps/?q=24.9839,68.8537"
Alik Ghund,7630,"https://www.google.com/maps/?q=30.4898,67.5218"
Dinan Bashnoian Wala,7500,"https://www.google.com/maps/?q=29.7658,73.2656"
Jam Sahib,6869,"https://www.google.com/maps/?q=26.2958,68.6292"
Kandiari,6861,"https://www.google.com/maps/?q=26.9155,68.5219"
Kadhan,6854,"https://www.google.com/maps/?q=24.4804,68.9855"
Goth Garelo,6853,"https://www.google.com/maps/?q=27.4352,68.0757"
Nazir Town,6750,"https://www.google.com/maps/?q=33.3061,73.4833"
Khadan Khak,6622,"https://www.google.com/maps/?q=30.7524,67.7113"
Pithoro,6440,"https://www.google.com/maps/?q=25.5112,69.378"
Duki,6384,"https://www.google.com/maps/?q=30.1531,68.5732"
Nabisar,6256,"https://www.google.com/maps/?q=25.0672,69.6434"
Kario Ghanwar,5685,"https://www.google.com/maps/?q=24.8082,68.6048"
Parachinar,0,"https://www.google.com/maps/?q=33.8997,70.1001"
